disaster_id,year,month,disaster_type,disaster_name,primary_affect,secondary_affect,state_name,crops_affected,season,nature_of_disaster
1,1995,sep,Extreme temp,Heat wave,Hot wind,affects crops,Alabama,ginger (dry),winter,occasional
2,1995,sep,Extreme temp,Heat wave,Hot wind,affects crops,Alaska,cardamon,winter,occasional
3,1995,sep,Extreme temp,Heat wave,Hot wind,affects crops,Arizona,black pepper,winter,occasional
4,1995,sep,Extreme temp,Heat wave,Hot wind,affects crops,Arkansas,maize,autumn,occasional
5,1995,sep,Extreme temp,Heat wave,Hot wind,affects crops,California,chillies ,autumn,occasional
6,1995,sep,Extreme temp,Heat wave,Hot wind,affects crops,Colorado,wheat,autumn,occasional
7,1995,sep,Extreme temp,Heat wave,Hot wind,affects crops,Connecticut,moong,monsoon,occasional
8,1995,sep,Extreme temp,Heat wave,Hot wind,affects crops,Delaware,coffee,monsoon,occasional
9,1995,sep,Extreme temp,Heat wave,Hot wind,affects crops,Florida,gram,winter,occasional
10,1995,jul,Slide,Landslide,affects the whole place,affects crops ,Georgia,jute,spring,seasonal
11,1995,jun,Slide,Landslide,affects the whole place,affects crops ,Hawaii,maize,summer,seasonal
12,1995,sep,Flood,Flood,heavy rainfall ,affects crops,Idaho,chillies ,spring,seasonal
13,1995,nov,Wind storm,Cyclone,affects rainfall,affects crops,Illinois,groundnut,winter,seasonal
14,1995,sep,Flood,Flood,heavy rainfall ,affects crops,Indiana,ragi,winter,seasonal
15,1995,sep,Flood,Flood,heavy rainfall ,affects crops,Iowa,onion,winter,seasonal
16,1995,jun,Flood,Flood,heavy rainfall ,affects crops,Kansas,banana,summer,seasonal
17,1995,jun,Slide,Landslide,affects the whole place,affects crops ,Kentucky,maize,summer,seasonal
18,1995,sep,Flood,Flood,heavy rainfall ,affects crops,Louisiana,chillies ,autumn,seasonal
19,1996,aug,Flood,Flood,heavy rainfall ,affects crops,Maine,paddy,autumn,
20,1996,aug,Flood,Flood,heavy rainfall ,affects crops,Maryland,sugarcane,autumn,seasonal
21,1996,aug,Flood,Flood,heavy rainfall ,affects crops,Massachusetts,other oilseeds,autumn,seasonal
22,1996,oct,Flood,Flood,heavy rainfall ,affects crops,Michigan,sunflower,winter,seasonal
23,1996,oct,Flood,Flood,heavy rainfall ,affects crops,Minnesota,rape-seed & mustard,winter,seasonal
24,1996,oct,Flood,Flood,heavy rainfall ,affects crops,Mississippi,cashewnut,monsoon,seasonal
